cluster,n_units,NDVI_slope_mean,viirs_mean_slope_mean,S2_NDBI_contrast_slope_mean,NDVI_cv_mean,NDVI_seasonal_amp_mean,NDBI_seasonal_amp_mean,S2_NDBI_contrast_mean_mean,S2_NDBI_entropy_mean_mean,elderly_ratio_mean,household_size_mean,pop_total_mean,NDVI_slope_std,viirs_mean_slope_std,S2_NDBI_contrast_slope_std,NDVI_cv_std,NDVI_seasonal_amp_std,NDBI_seasonal_amp_std,S2_NDBI_contrast_mean_std,S2_NDBI_entropy_mean_std,elderly_ratio_std,household_size_std,pop_total_std
0,4,0.18638949999999999,-0.9818217499999999,-14.888998,0.7686600495316682,0.3014345,0.38228625,161.6175599352245,5.348622240068853,0.29887872258786163,2.301250338468311,211357.85874191223,0.09606783479916677,0.8657185126946576,21.174233585491653,0.14909105406238116,0.11603194156351948,0.029839464700013193,63.91890757684778,0.5387744659241481,0.02247321446810701,0.042167738302841325,119932.60815065065
1,31,0.3214805483870968,0.23857432258064518,-30.97537993548387,0.8747591093542668,0.478847,0.4254571935483871,149.41775483924664,5.47632340671252,0.4093848108752225,2.7100749889642373,31476.560702968967,0.10602486516279683,0.15702057859027846,34.83286537820788,0.20683494775923866,0.10025753994322156,0.14427324617438475,37.8781950109508,0.6929180524320044,0.052226955119317756,0.2899134748155155,35852.993669366086
2,6,0.368596,-0.183354,-221.96860383333333,1.0463647240566747,0.5140399999999999,0.3399203333333333,412.01158262135596,4.795099165421486,0.3874409771692158,2.887898518918419,9470.33580494172,0.04994737028513111,0.11413423143124064,33.67025440783086,0.08001847099160395,0.1688391374450841,0.021721456034683014,100.04316696252171,0.27890447572341326,0.04359988754208656,0.15678171399333557,4171.548942561828
3,21,0.1364314761904762,0.07516538095238096,-62.31836561904762,1.0445219044723093,0.2742905238095238,0.32255457142857147,209.32992921564352,4.984901729104907,0.4025477985847627,2.47724931209124,12267.336921793505,0.08138372246808268,0.2324177688685777,34.929018878519116,0.456528581057055,0.08184534777164738,0.0634662518757579,81.53873868303216,1.1826132860435599,0.0743909233872005,0.24136683456527583,8351.030683638588
4,3,0.00901933333333333,0.18240066666666666,-38.32303566666667,6.399365808749565,0.18049300000000001,0.249023,143.27270715633418,4.626051986771066,0.3908891564738995,2.2553907186335302,20615.34092787855,0.02433450912456081,0.03554844359931015,29.40791094953979,1.6894188542430384,0.001811225827996062,0.008604767922495048,38.052917416158984,0.7308725465058612,0.07759196198060285,0.08321406308392483,29075.92690929821
