,k,silhouette,calinski_harabasz,davies_bouldin,inertia,gap,gap_se,recommended
0,2,0.2049,13.09,2.0013,591.97,0.8042,0.0383,False
1,3,0.2462,13.8,1.5965,494.73,0.886,0.0372,False
2,4,0.2535,14.54,1.3436,416.86,0.9786,0.0393,False
3,5,0.215,14.67,1.2665,361.51,1.0534,0.0398,True
4,6,0.231,14.87,1.1868,316.37,1.126,0.0405,False
5,7,0.2233,14.83,1.2273,282.16,1.1882,0.0406,False
6,8,0.2205,15.08,1.13,250.74,1.2515,0.0422,False
