model,balanced_accuracy,accuracy,f1_weighted,f1_macro,precision_weighted,recall_weighted,cohen_kappa,matthews_corrcoef
logistic_regression,0.6148221343873518,0.6153846153846154,0.6114137214137215,0.6120870870870871,0.6134037907793564,0.6153846153846154,0.4210901318133238,0.4230581709931194
svm_linear,0.683201581027668,0.676923076923077,0.6740011926058438,0.6753875968992248,0.6933290239172591,0.676923076923077,0.5178382197103497,0.526989663995277
random_forest,0.5953227931488801,0.6,0.598039798039798,0.5950625950625951,0.5995823181343544,0.6,0.3970745629682483,0.39836188182347027
