KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T001083001,T001083002,T001083003,T001083004,T001083005,T001083006,T001083007,T001083008
,,,,,,,一般世帯数（世帯人員６人以上含む）,世帯人員１人,世帯人員２人,世帯人員３人,世帯人員４人,世帯人員５人,一般世帯人員,１世帯当たり人員
05201,1,秋田市,,0,,,136634,49576,42280,24005,14863,4221,297464,2.17709
052010010,3,秋田市,千秋,0,,,2309,1232,581,281,164,42,4164,1.80338
05201001001,4,秋田市,千秋北の丸,0,,,263,96,88,43,29,5,554,2.10646
05201001002,4,秋田市,千秋久保田町,0,,,232,182,32,6,8,4,316,1.36207
05201001003,4,秋田市,千秋公園,0,,,27,10,10,5,2,-,53,1.96296
05201001004,4,秋田市,千秋城下町,0,,,401,243,85,49,18,4,670,1.67082
05201001005,4,秋田市,千秋中島町,0,,,365,161,106,55,30,10,727,1.99178
05201001006,4,秋田市,千秋明徳町,0,,,109,51,40,11,5,2,194,1.77982
05201001007,4,秋田市,千秋矢留町,0,,,912,489,220,112,72,17,1650,1.80921
052010020,3,秋田市,手形,0,,,2400,1663,370,211,115,30,3712,1.54667
05201002001,4,秋田市,手形からみでん,0,,,269,163,56,31,12,5,453,1.68401
05201002002,4,秋田市,手形学園町,0,,,-,-,-,-,-,-,-,-
05201002003,4,秋田市,手形休下町,0,,,200,99,55,24,15,6,377,1.88500
05201002004,4,秋田市,手形新栄町,0,,,292,211,49,18,9,3,426,1.45890
05201002005,4,秋田市,手形住吉町,0,,,314,223,28,36,22,4,501,1.59554
05201002006,4,秋田市,手形田中,0,,,897,633,140,69,44,9,1353,1.50836
05201002007,4,秋田市,手形山崎町,0,,,428,334,42,33,13,3,602,1.40654
052010030,3,秋田市,中通,0,,,2448,1556,563,198,106,21,3830,1.56454
05201003001,4,秋田市,中通一丁目,0,,,243,144,65,22,11,1,389,1.60082
05201003002,4,秋田市,中通二丁目,0,,,83,80,2,1,-,-,87,1.04819
05201003003,4,秋田市,中通三丁目,0,,,509,312,132,43,17,4,799,1.56974
05201003004,4,秋田市,中通四丁目,0,,,206,150,41,7,7,1,286,1.38835
05201003005,4,秋田市,中通五丁目,0,,,660,429,143,56,26,6,1017,1.54091
05201003006,4,秋田市,中通六丁目,0,,,475,286,117,39,23,7,783,1.64842
05201003007,4,秋田市,中通七丁目,0,,,272,155,63,30,22,2,469,1.72426
052010040,3,秋田市,南通,0,,,2267,1349,505,247,115,43,3826,1.68769
05201004001,4,秋田市,南通亀の町,0,,,626,407,145,51,15,7,951,1.51917
05201004002,4,秋田市,南通築地,0,,,768,431,172,103,43,15,1357,1.76693
05201004003,4,秋田市,南通みその町,0,,,180,93,53,20,6,7,325,1.80556
05201004004,4,秋田市,南通宮田,0,,,693,418,135,73,51,14,1193,1.72150
052010050,3,秋田市,保戸野,0,,,2642,1110,796,421,231,62,5334,2.01893
05201005001,4,秋田市,保戸野金砂町,0,,,93,22,43,16,9,2,208,2.23656
05201005002,4,秋田市,保戸野桜町,0,,,309,100,99,68,32,10,680,2.20065
05201005003,4,秋田市,保戸野すわ町,0,,,367,143,118,68,27,9,749,2.04087
05201005004,4,秋田市,保戸野千代田町,0,,,391,160,118,58,42,10,807,2.06394
05201005005,4,秋田市,保戸野鉄砲町,0,,,363,196,98,42,16,8,640,1.76309
05201005006,4,秋田市,保戸野通町,0,,,158,82,43,21,10,2,281,1.77848
05201005007,4,秋田市,保戸野中町,0,,,288,147,82,33,15,9,528,1.83333
05201005008,4,秋田市,保戸野八丁,0,,,402,168,112,65,41,9,838,2.08458
05201005009,4,秋田市,保戸野原の町,0,,,271,92,83,50,39,3,603,2.22509
052010060,3,秋田市,高陽,0,,,1080,618,243,120,77,13,1893,1.75278
05201006001,4,秋田市,高陽青柳町,0,,,733,437,166,73,42,9,1239,1.69031
05201006002,4,秋田市,高陽幸町,0,,,347,181,77,47,35,4,654,1.88473
052010070,3,秋田市,大町,0,,,1577,876,431,186,62,15,2663,1.68865
05201007001,4,秋田市,大町一丁目,0,,,333,169,107,43,9,4,574,1.72372
05201007002,4,秋田市,大町二丁目,0,,,151,85,42,17,5,1,252,1.66887
05201007003,4,秋田市,大町三丁目,0,,,153,76,42,21,11,2,283,1.84967
05201007004,4,秋田市,大町四丁目,0,,,306,194,66,30,12,2,487,1.59150
05201007005,4,秋田市,大町五丁目,0,,,295,163,78,38,13,2,501,1.69831
05201007006,4,秋田市,大町六丁目,0,,,339,189,96,37,12,4,566,1.66962
052010080,3,秋田市,旭北,0,,,402,255,81,39,13,6,669,1.66418
05201008001,4,秋田市,旭北栄町,0,,,215,166,29,12,4,1,301,1.40000
05201008002,4,秋田市,旭北寺町,0,,,48,11,18,13,1,-,123,2.56250
05201008003,4,秋田市,旭北錦町,0,,,139,78,34,14,8,5,245,1.76259
052010090,3,秋田市,楢山,0,,,3844,1410,1261,665,380,94,8134,2.11602
05201009001,4,秋田市,楢山太田町,0,,,230,90,75,36,21,3,478,2.07826
05201009002,4,秋田市,楢山大元町,0,,,187,70,58,36,14,5,401,2.14439
