KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T001082001,T001082002,T001082003,T001082004,T001082005,T001082006,T001082007,T001082008,T001082009,T001082010,T001082011,T001082012,T001082013,T001082014,T001082015,T001082016,T001082017,T001082018,T001082019,T001082020,T001082021,T001082022,T001082023,T001082024,T001082025,T001082026,T001082027,T001082028,T001082029,T001082030,T001082031,T001082032,T001082033,T001082034,T001082035,T001082036,T001082037,T001082038,T001082039,T001082040,T001082041,T001082042,T001082043,T001082044,T001082045,T001082046,T001082047,T001082048,T001082049,T001082050,T001082051,T001082052,T001082053,T001082054,T001082055,T001082056,T001082057,T001082058,T001082059,T001082060
,,,,,,,総数、年齢「不詳」含む,総数０～４歳,総数５～９歳,総数１０～１４歳,総数１５～１９歳,総数２０～２４歳,総数２５～２９歳,総数３０～３４歳,総数３５～３９歳,総数４０～４４歳,総数４５～４９歳,総数５０～５４歳,総数５５～５９歳,総数６０～６４歳,総数６５～６９歳,総数７０～７４歳,総数１５歳未満,総数１５～６４歳,総数６５歳以上,総数７５歳以上,男の総数、年齢「不詳」含む,男０～４歳,男５～９歳,男１０～１４歳,男１５～１９歳,男２０～２４歳,男２５～２９歳,男３０～３４歳,男３５～３９歳,男４０～４４歳,男４５～４９歳,男５０～５４歳,男５５～５９歳,男６０～６４歳,男６５～６９歳,男７０～７４歳,男１５歳未満,男１５～６４歳,男６５歳以上,男７５歳以上,女の総数、年齢「不詳」含む,女０～４歳,女５～９歳,女１０～１４歳,女１５～１９歳,女２０～２４歳,女２５～２９歳,女３０～３４歳,女３５～３９歳,女４０～４４歳,女４５～４９歳,女５０～５４歳,女５５～５９歳,女６０～６４歳,女６５～６９歳,女７０～７４歳,女１５歳未満,女１５～６４歳,女６５歳以上,女７５歳以上
05201,1,秋田市,,0,,,307672,9434,11244,12131,13017,12562,12269,14096,16778,20347,22572,19801,20219,21094,23339,24085,32809,172755,95949,48525,145411,4854,5733,6206,6617,6454,6072,6884,8291,10134,11258,9653,9531,9988,11088,10963,16793,84882,40000,17949,162261,4580,5511,5925,6400,6108,6197,7212,8487,10213,11314,10148,10688,11106,12251,13122,16016,87873,55949,30576
052010010,3,秋田市,千秋,0,,,4258,116,138,131,188,221,159,176,208,256,320,310,290,312,352,337,385,2440,1264,575,2037,59,73,59,97,113,76,91,108,122,158,166,156,131,156,162,191,1218,522,204,2221,57,65,72,91,108,83,85,100,134,162,144,134,181,196,175,194,1222,742,371
05201001001,4,秋田市,千秋北の丸,0,,,554,8,12,20,28,22,18,26,26,23,50,34,34,36,51,65,40,297,215,99,272,5,6,11,15,15,6,17,12,13,23,23,18,13,24,33,22,155,93,36,282,3,6,9,13,7,12,9,14,10,27,11,16,23,27,32,18,142,122,63
05201001002,4,秋田市,千秋久保田町,0,,,329,5,7,5,19,48,18,16,6,25,34,33,22,11,11,20,17,232,66,35,176,1,7,3,9,14,8,10,2,13,18,23,21,3,7,11,11,121,35,17,153,4,-,2,10,34,10,6,4,12,16,10,1,8,4,9,6,111,31,18
05201001003,4,秋田市,千秋公園,0,,,53,3,-,1,1,-,-,2,2,3,3,3,9,2,6,-,4,25,23,17,23,3,-,-,1,-,-,1,2,2,2,-,4,-,3,-,3,12,7,4,30,-,-,1,-,-,-,1,-,1,1,3,5,2,3,-,1,13,16,13
05201001004,4,秋田市,千秋城下町,0,,,670,24,20,18,33,53,36,32,34,31,31,34,39,47,55,51,62,370,191,85,329,13,9,7,21,28,18,19,19,16,16,19,19,19,21,23,29,194,78,34,341,11,11,11,12,25,18,13,15,15,15,15,20,28,34,28,33,176,113,51
05201001005,4,秋田市,千秋中島町,0,,,727,20,23,20,33,34,22,32,39,37,38,36,39,65,65,71,63,375,266,130,351,9,10,10,19,23,15,14,20,18,17,20,16,30,32,32,29,192,114,50,376,11,13,10,14,11,7,18,19,19,21,16,23,35,33,39,34,183,152,80
05201001006,4,秋田市,千秋明徳町,0,,,196,3,1,8,6,5,4,3,8,14,18,22,19,19,15,12,12,118,52,25,90,1,1,2,3,3,1,2,2,7,10,10,11,8,7,6,4,57,20,7,106,2,-,6,3,2,3,1,6,7,8,12,8,11,8,6,8,61,32,18
05201001007,4,秋田市,千秋矢留町,0,,,1729,53,75,59,68,59,61,65,93,123,146,148,128,132,149,118,187,1023,451,184,796,27,40,26,29,30,28,28,51,53,72,71,67,58,62,57,93,487,175,56,933,26,35,33,39,29,33,37,42,70,74,77,61,74,87,61,94,536,276,128
052010020,3,秋田市,手形,0,,,3793,89,89,91,290,681,155,144,148,182,175,165,212,186,182,189,269,2338,920,549,2051,45,50,44,183,473,107,72,71,92,105,84,119,90,93,79,139,1396,340,168,1742,44,39,47,107,208,48,72,77,90,70,81,93,96,89,110,130,942,580,381
05201002001,4,秋田市,手形からみでん,0,,,453,12,12,18,27,45,4,20,22,20,19,14,20,14,31,41,42,205,159,87,237,9,5,11,17,34,2,9,7,11,11,7,5,5,18,16,25,108,65,31,216,3,7,7,10,11,2,11,15,9,8,7,15,9,13,25,17,97,94,56
05201002002,4,秋田市,手形学園町,0,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
05201002003,4,秋田市,手形休下町,0,,,377,9,8,12,22,39,11,8,20,26,24,22,24,20,26,27,29,216,110,57,187,4,5,6,11,26,6,4,11,13,17,10,11,7,12,13,15,116,42,17,190,5,3,6,11,13,5,4,9,13,7,12,13,13,14,14,14,100,68,40
05201002004,4,秋田市,手形新栄町,0,,,466,4,9,9,35,85,22,19,16,18,13,20,23,19,28,19,22,270,146,99,229,2,6,2,21,60,12,10,7,7,7,8,14,6,13,7,10,152,49,29,237,2,3,7,14,25,10,9,9,11,6,12,9,13,15,12,12,118,97,70
05201002005,4,秋田市,手形住吉町,0,,,501,37,23,12,23,27,35,33,33,44,34,42,59,18,4,4,72,348,59,51,286,18,12,6,13,18,21,17,16,25,24,31,44,11,2,2,36,220,17,13,215,19,11,6,10,9,14,16,17,19,10,11,15,7,2,2,36,128,42,38
