,count,mean,std,min,25%,50%,75%,max,skew,kurtosis,missing_count,missing_pct
B2,794222.0,1348.1144968278209,1558.7645955421635,0.0,526.693892740926,752.8266383917926,1276.7673837356358,10318.84414427665,2.556202749472004,6.945410732094375,370810,31.83
B3,794222.0,1375.7708339725637,1537.0034514793308,0.0,577.0,852.6909160021856,1277.0,10323.225329194813,2.598639184219727,7.280628913249624,370810,31.83
B4,794222.0,1352.7854873859758,1598.6984932662594,0.0,489.2288509126074,812.8632241472454,1322.2707843320375,10473.510818725892,2.596829352829719,7.3586466408075815,370810,31.83
B8,794222.0,2137.5550264630583,1560.429654704958,0.0,1300.8614702292919,1882.0,2607.0116904816323,10895.73781402346,1.907980618068742,5.508733754857699,370810,31.83
B11,794222.0,1171.5184305916582,635.3031355920876,2.0,722.7156943576192,1163.509234509542,1596.4818289900252,3508.0000000000005,0.29796856380262776,-0.08419285190649717,370810,31.83
NDVI,794222.0,0.20718778648952402,0.21312487465091026,-0.3322465708108726,0.03149135533996915,0.19491946926083076,0.331571015070226,0.8909444808959961,0.49395361827163126,-0.2423500794019291,370810,31.83
NDBI,794222.0,-0.19533322137026027,0.20838822560943626,-0.8587285951096897,-0.29715685736615727,-0.161669917352479,-0.06171729806683233,1.0,0.39182614100222884,5.441018808819118,370810,31.83
MNDWI,794222.0,0.03212499032915746,0.33079013006700214,-1.0,-0.24097778492930066,-0.043858253820079005,0.29342506697840687,0.8419774770736694,0.4410305608306514,-0.5845071143416898,370810,31.83
viirs_mean,1154883.0,4.695151656049347,8.436205831076716,-0.5299999713897705,0.6938625702763834,1.6920212583338965,5.39110022894893,910.7717031625602,10.722313396119882,494.6146839376936,10149,0.87
S2_NDBI_contrast,943749.0,3255.3729862315645,2367.028999004873,0.0,1301.4908424908429,2732.834325396826,4790.989682539682,16348.008333333331,0.8490131218731791,0.22667715774935893,221283,18.99
S2_NDBI_entropy,943749.0,3.7566084924279455,1.571292189593512,0.0,2.168727243999156,3.8836371371990848,4.882914843178121,9.84406899431285,0.0927472070502386,-0.8162515792318166,221283,18.99
S2_NDBI_homogeneity,943749.0,0.5316473825643416,0.17307689646729135,0.007021242317545339,0.4096071827145834,0.5152982272726677,0.637056902472041,1.0,0.3476313616200378,-0.2647113709970599,221283,18.99
osm_built_area,1165032.0,17921.47279187045,50993.85803631307,0.0,313.7312340529011,6095.705269878983,19232.905533950492,1563981.6364116846,13.35567518258971,260.5210493940602,0,0.0
osm_building_count,1165032.0,136.63958758214366,397.0483118953654,0.0,2.0,39.0,141.0,11526.0,13.333221165638399,262.9673396720672,0,0.0
osm_built_ratio,1165032.0,0.07609199509528897,0.11422952597774534,0.0,0.00035483720182520823,0.017733455045319306,0.11252666505127547,0.8528842233005053,1.9693178947097953,4.502867087099137,0,0.0
elevation_mean,1165032.0,60.032069426794166,80.41436332658428,-4.201258015959549,13.616754486474328,34.27884432241689,71.63008601170105,857.631071455591,3.4848553333594796,16.79444112254868,0,0.0
elevation_std,1165032.0,15.705816997071151,30.779459535438562,0.0,1.5526956568232342,3.8242718230765407,16.543067857508465,340.42255944979775,4.431232985839487,26.18822473715906,0,0.0
slope_mean,826848.0,0.144673171658895,0.1218362829884026,0.0107391448691487,0.0107391448691487,0.2582422792911529,0.2582422792911529,0.2582422792911529,-0.1543815521166179,-1.9571204904474762,338184,29.03
slope_std,826848.0,0.0003403955935696117,0.005397626118829501,0.0,0.0,0.0,4.733833628701438e-10,0.1237277756954108,18.27078606301269,357.42009698806015,338184,29.03
aspect_sin_mean,826848.0,-0.7341782438965943,0.17394273319096104,-0.8674519768894725,-0.8674519768894725,-0.8674519768894725,-0.6190061055665267,0.0,1.9690098496063313,6.026647621199202,338184,29.03
aspect_cos_mean,826848.0,0.6378114090122172,0.1538312994161578,0.4975209219626307,0.4975209219626307,0.4975209219626307,0.7853861733385443,1.0,0.34460847394818045,-1.4112702756353455,338184,29.03
tri_mean,1165032.0,2.493169545794776,2.373347786427027,0.0,0.741182619369916,1.3719888657114443,3.802655578435006,13.416675009743503,1.3683626257496084,1.235721712909407,0,0.0
dw_water_frac,1165032.0,0.05584683687677985,0.03108285912395386,0.03334525854372551,0.04263325354742586,0.04688157543518197,0.0573706345226689,0.5775475358865774,6.234803633146335,56.710930169129014,0,0.0
dw_trees_frac,1165032.0,0.19116689834558867,0.18275206561148055,0.02875411304978987,0.047785294937685616,0.09404976965440418,0.32184055607369066,0.6777533422092092,0.9976027949115243,-0.4429117658473327,0,0.0
dw_grass_frac,1165032.0,0.06335095996946843,0.027536339370700665,0.02543846516461895,0.03937868602513484,0.060240181846656436,0.08141314280332387,0.37353377453794057,1.3561337726618827,6.629075528216924,0,0.0
dw_flooded_vegetation_frac,1165032.0,0.04147908018603524,0.011059443905566966,0.028215036521766452,0.03408853149128671,0.03705355631151326,0.04566734977070771,0.13120025691312528,1.946685563789426,4.8808575922815,0,0.0
dw_crops_frac,1165032.0,0.11631403638629613,0.0997620638439604,0.027791428158385166,0.040685546458383945,0.07068522716597633,0.1640972303889443,0.4790374903128476,1.2732703338177898,0.5484358889662455,0,0.0
dw_shrub_and_scrub_frac,1165032.0,0.055309084612825785,0.01630581059234159,0.02891577378947847,0.04089193185618676,0.055196014386353014,0.06587664577108451,0.1388880639134197,0.5925014102953645,0.42890745784986484,0,0.0
dw_built_frac,1165032.0,0.31199377911698223,0.22939202580732795,0.029842323207993238,0.10059286769877702,0.23513867112122133,0.5742144995361652,0.7110284301540835,0.3337140064180535,-1.518547534741358,0,0.0
dw_bare_frac,1165032.0,0.04548093819575529,0.007706923369781759,0.03195422649576496,0.04062015011636641,0.0440447076756115,0.04888219895137966,0.2388769685279668,4.652230185330901,66.8426107044179,0,0.0
dw_snow_and_ice_frac,1165032.0,0.10581720687945355,0.024048374798365062,0.04090921346946993,0.09300584426358753,0.10798679236213646,0.11911674796221683,0.2929376785644312,0.5675184582710137,3.722475040118825,0,0.0
pop_total,1063128.0,272.8440526446486,496.83299443045723,1.0,51.0,125.0,321.0,15725.0,10.146625102860702,203.82449429646044,101904,8.75
pop_male,1057056.0,129.35077422577422,236.39699361630372,1.0,24.0,59.0,151.25,7557.0,10.297264541470277,209.6619142518269,107976,9.27
pop_female,1057980.0,144.93387398627573,262.51912850634915,1.0,27.0,67.0,171.0,8168.0,9.948087499539303,195.3301966668324,107052,9.19
households_total,978516.0,120.32874679616889,206.5651268689028,4.0,25.0,51.0,142.0,5964.0,8.74542057932965,154.60313052996946,186516,16.01
age_u15,911592.0,32.066898349261514,62.63497884889692,1.0,5.0,13.0,37.0,2394.0,12.904861091584282,355.8936535650801,253440,21.75
age_15_64,983928.0,157.62771666219479,280.8497023934774,1.0,31.0,70.0,187.0,9272.0,10.413545434978719,223.1184152977527,181104,15.54
age_65_plus,983136.0,103.31270139634802,174.58934387726566,1.0,26.0,55.0,120.0,4554.0,8.919673756998792,141.05630201185116,181896,15.61
age_75_plus,979968.0,53.792160560344826,91.84771778019598,1.0,13.0,28.0,63.0,2343.0,8.300359389794552,120.49259780832047,185064,15.88
year,1165032.0,2020.0,3.162279017332687,2015.0,2017.0,2020.0,2023.0,2025.0,0.0,-1.2200000858330489,0,0.0
month_num,1165032.0,6.5,3.4520540110625317,1.0,3.75,6.5,9.25,12.0,0.0,-1.2167832888106658,0,0.0
