KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T001084001,T001084002,T001084003,T001084004,T001084005,T001084006,T001084007,T001084008,T001084009
,,,,,,,一般世帯総数,親族のみの世帯,核家族世帯,うち夫婦のみの世帯,うち夫婦と子供から成る世帯,核家族以外の世帯,６歳未満世帯員のいる一般世帯総数,１８歳未満世帯員のいる一般世帯総数,６５歳以上世帯員のいる一般世帯総数
05201,1,秋田市,,0,,,136634,85698,75691,30381,32259,10007,9136,24832,60469
052010010,3,秋田市,千秋,0,,,2309,1059,971,432,389,88,104,303,843
05201001001,4,秋田市,千秋北の丸,0,,,263,167,148,65,59,19,9,36,145
05201001002,4,秋田市,千秋久保田町,0,,,232,50,46,24,12,4,5,11,38
05201001003,4,秋田市,千秋公園,0,,,27,17,16,5,6,1,2,3,18
05201001004,4,秋田市,千秋城下町,0,,,401,154,139,67,53,15,20,41,128
05201001005,4,秋田市,千秋中島町,0,,,365,202,170,79,65,32,15,51,187
05201001006,4,秋田市,千秋明徳町,0,,,109,55,51,30,13,4,2,13,35
05201001007,4,秋田市,千秋矢留町,0,,,912,414,401,162,181,13,51,148,292
052010020,3,秋田市,手形,0,,,2400,728,641,257,262,87,87,207,635
05201002001,4,秋田市,手形からみでん,0,,,269,104,87,37,29,17,12,32,110
05201002002,4,秋田市,手形学園町,0,,,-,-,-,-,-,-,-,-,-
05201002003,4,秋田市,手形休下町,0,,,200,99,90,34,34,9,8,24,77
05201002004,4,秋田市,手形新栄町,0,,,292,80,68,36,21,12,8,20,71
05201002005,4,秋田市,手形住吉町,0,,,314,90,89,26,59,1,31,51,57
05201002006,4,秋田市,手形田中,0,,,897,261,229,91,86,32,24,61,210
05201002007,4,秋田市,手形山崎町,0,,,428,94,78,33,33,16,4,19,110
052010030,3,秋田市,中通,0,,,2448,867,817,415,268,50,82,235,787
05201003001,4,秋田市,中通一丁目,0,,,243,96,95,55,32,1,12,27,61
05201003002,4,秋田市,中通二丁目,0,,,83,3,3,1,1,-,1,1,3
05201003003,4,秋田市,中通三丁目,0,,,509,194,181,101,53,13,17,45,203
05201003004,4,秋田市,中通四丁目,0,,,206,53,48,29,10,5,1,11,98
05201003005,4,秋田市,中通五丁目,0,,,660,220,212,99,71,8,23,63,191
05201003006,4,秋田市,中通六丁目,0,,,475,185,166,85,53,19,15,48,177
05201003007,4,秋田市,中通七丁目,0,,,272,116,112,45,48,4,13,40,54
052010040,3,秋田市,南通,0,,,2267,892,825,342,317,67,144,289,658
05201004001,4,秋田市,南通亀の町,0,,,626,204,192,98,55,12,22,45,173
05201004002,4,秋田市,南通築地,0,,,768,332,303,108,120,29,46,113,266
05201004003,4,秋田市,南通みその町,0,,,180,86,76,36,23,10,9,24,70
05201004004,4,秋田市,南通宮田,0,,,693,270,254,100,119,16,67,107,149
052010050,3,秋田市,保戸野,0,,,2642,1513,1373,585,572,140,140,431,1168
05201005001,4,秋田市,保戸野金砂町,0,,,93,71,64,34,21,7,3,15,71
05201005002,4,秋田市,保戸野桜町,0,,,309,206,186,72,88,20,14,63,138
05201005003,4,秋田市,保戸野すわ町,0,,,367,220,203,97,86,17,23,67,166
05201005004,4,秋田市,保戸野千代田町,0,,,391,227,210,84,92,17,22,66,161
05201005005,4,秋田市,保戸野鉄砲町,0,,,363,166,149,65,49,17,12,37,158
05201005006,4,秋田市,保戸野通町,0,,,158,75,68,31,27,7,4,16,63
05201005007,4,秋田市,保戸野中町,0,,,288,139,128,59,48,11,12,39,110
05201005008,4,秋田市,保戸野八丁,0,,,402,230,200,73,88,30,36,78,175
05201005009,4,秋田市,保戸野原の町,0,,,271,179,165,70,73,14,14,50,126
052010060,3,秋田市,高陽,0,,,1080,450,415,157,173,35,53,147,358
05201006001,4,秋田市,高陽青柳町,0,,,733,289,263,105,97,26,31,79,257
05201006002,4,秋田市,高陽幸町,0,,,347,161,152,52,76,9,22,68,101
052010070,3,秋田市,大町,0,,,1577,680,608,291,176,72,50,152,680
05201007001,4,秋田市,大町一丁目,0,,,333,159,144,74,33,15,9,28,164
05201007002,4,秋田市,大町二丁目,0,,,151,66,62,36,19,4,4,9,90
05201007003,4,秋田市,大町三丁目,0,,,153,76,66,28,24,10,3,20,72
05201007004,4,秋田市,大町四丁目,0,,,306,108,100,44,34,8,13,30,97
05201007005,4,秋田市,大町五丁目,0,,,295,129,106,51,29,23,12,33,124
05201007006,4,秋田市,大町六丁目,0,,,339,142,130,58,37,12,9,32,133
052010080,3,秋田市,旭北,0,,,402,145,124,56,44,21,18,41,124
05201008001,4,秋田市,旭北栄町,0,,,215,49,43,23,13,6,4,11,41
05201008002,4,秋田市,旭北寺町,0,,,48,37,27,14,10,10,6,7,35
05201008003,4,秋田市,旭北錦町,0,,,139,59,54,19,21,5,8,23,48
052010090,3,秋田市,楢山,0,,,3844,2391,2153,859,847,238,249,636,1838
05201009001,4,秋田市,楢山太田町,0,,,230,139,121,42,45,18,14,29,117
05201009002,4,秋田市,楢山大元町,0,,,187,112,95,42,39,17,4,20,101
05201009004,4,秋田市,楢山共和町,0,,,175,116,105,40,38,11,8,21,87
05201009005,4,秋田市,楢山金照町,0,,,62,37,32,18,13,5,3,8,41
05201009006,4,秋田市,楢山佐竹町,0,,,70,42,38,12,18,4,9,19,36
