unit_id,pref_name,B4_mean,B4_std,B8_mean,B8_std,B11_mean,B11_std,NDVI_mean,NDVI_std,NDBI_mean,NDBI_std,MNDWI_mean,MNDWI_std,viirs_mean_mean,viirs_mean_std,S2_NDBI_contrast_mean,S2_NDBI_contrast_std,S2_NDBI_entropy_mean,S2_NDBI_entropy_std,dw_bare_frac_mean,dw_bare_frac_std,NDVI_slope,NDBI_slope,MNDWI_slope,viirs_mean_slope,dw_bare_frac_slope,NDVI_seasonal_amp,NDBI_seasonal_amp,MNDWI_seasonal_amp,pop_total,age_u15,age_65_plus,osm_built_area,osm_built_ratio,elevation_mean,elevation_std,slope_mean,slope_std,aspect_sin_mean,aspect_cos_mean,tri_mean,dw_water_frac,dw_trees_frac,dw_grass_frac,dw_flooded_vegetation_frac,dw_crops_frac,dw_shrub_and_scrub_frac,dw_built_frac,elderly_ratio,aging_index,youth_ratio,household_size,shrinkage_class,shrinkage_code
aza:Akita:05201001001,Akita,0.10406887702240908,0.1952971989296518,-0.022391959567969695,0.030881650250790316,-0.05961260076031662,-0.26751144132151267,-0.46160068666539494,-0.4091590445754233,0.24017834683964634,-0.28168484633246677,0.6375716256240205,-0.363848520987138,1.0744674292579066,2.1595141760384173,0.19240158334061316,0.07115526232428374,-0.01128936879242127,-0.09221415456054585,-0.7259693923451843,-0.23357426009733434,0.12897846653252257,0.11385476896200157,-0.2898054839979691,-4.429072273448509,-1.3678154171314507,-0.3138800058975154,-0.02721057373320874,-0.04146661379373467,0.8153503981796989,0.6676335438525631,0.8999789362267747,0.46946564327120166,1.3173330533104042,-0.16957255765429272,0.40028463975343614,0.0,0.0,0.0,0.0,1.1233305394946298,-0.23050561985402687,-0.09275116687940689,-0.4764120663060683,-0.23974298768535815,-0.2261827495683422,-0.548974204557935,0.5863212594396351,-0.057953639163678905,0.2661639169344989,-0.3331068704516517,-0.6159859926561944,shrinking,1
aza:Akita:05201001002,Akita,0.11248688553777883,0.20514145307476386,-0.014871495885503443,0.03965487714948414,-0.05366191023186458,-0.25066137854817633,-0.4644497568266112,-0.41013193756732846,0.24478687464808493,-0.2629744398641623,0.6379000838461126,-0.3566158626503723,1.7536666378447605,4.353461689300414,0.47796575632916743,0.45477737038829497,0.08494039776175259,0.21789425353327313,0.3691315611652755,0.8634087925063568,0.12857825753449034,0.11651976282111019,-0.29211287345657694,-5.205740552849083,-1.0094522397698587,-0.31385966963745526,-0.012683281496142616,-0.03471107992963834,0.5075940951787287,0.15615043384980307,0.11956431128229841,0.4505826487266801,1.6129033168412836,-0.3199923556190119,0.16416782172755937,0.0,0.0,0.0,0.0,0.6118233495476411,-0.008733712420624462,-0.18879149017625857,-0.6302306409169415,-0.30569521544498146,-0.28926836387616295,-0.7800003080620704,0.7037593911293204,-1.2870000560980925,-0.11523331933164178,-0.7473927261110169,-1.6346208006031955,stable,0
aza:Akita:05201001003,Akita,0.10300058497785418,0.19444144711638808,-0.029264373383664225,0.029910208848087348,-0.06254590810351306,-0.27025676092154377,-0.46967382005057234,-0.41666986182165927,0.2483399030789345,-0.2769649662199556,0.6440151276586382,-0.36822446468768316,1.524515415766592,3.108383597440812,0.24023701769295214,0.12921836072802015,0.2570678298353404,0.08309255949528051,-0.6612903260261456,-0.5520469655968778,0.12001378497659908,0.11674230928116106,-0.28647161329731874,-4.1342910791566,-1.1428403686960606,-0.31850311568450995,-0.030175040524331342,-0.048336027819296454,-0.5639554908732218,-0.6397385131955605,-0.5648826839889104,0.17059633152595596,0.3578530663371543,-0.021905779281568248,0.5873358508253932,0.0,0.0,0.0,0.0,1.3298217388492075,-0.21185382332026845,0.4540383241716548,-0.31912753864063537,0.03627621127641438,-0.12527484796545849,-0.19961077418420603,0.2818083097707469,0.24279122574047154,0.3619829270309185,-0.2671306269679663,-0.8283384478244881,shrinking,1
aza:Akita:05201001004,Akita,0.11187309791492506,0.2041631082364718,-0.011535338427912776,0.03892019896687857,-0.05266049978338294,-0.25150100386813695,-0.4586846811452221,-0.4050411189667019,0.23869425929240973,-0.2689709650168742,0.6336070006861582,-0.3548565443859273,1.5713388737707175,3.8087151171657347,0.49304683043588315,0.5640447330253033,-0.5623999033464013,-0.5573082992008171,-0.2528083508601795,0.07219892009867655,0.13454581837181656,0.11419971597508036,-0.29394650234193465,-4.949150993384989,-0.9589620149122293,-0.31081600938179454,-0.013020472031625721,-0.03123773500493134,0.9277089643906099,0.9345358308985776,0.8214544875995415,0.3743593522665717,1.5653568913132188,-0.3884626389133888,0.0017627791900069625,0.0,0.0,0.0,0.0,0.03867012667287289,-0.21671373825605897,-0.18599314208814605,-0.6496145822206172,-0.33540358903138856,-0.2950329043058663,-0.7766221551291748,0.6866083289449338,-0.7332651381134515,-0.3200835749457457,0.07723828421544165,-1.260646843979325,stable,0
aza:Akita:05201001005,Akita,0.09631361074349334,0.1866292843763614,-0.03490017510273726,0.022955900992019343,-0.06712518170365142,-0.2835284876129654,-0.466942922440836,-0.4154546091121886,0.24419101685797534,-0.292202616389616,0.6433748998892903,-0.37374155179736496,1.003784735688914,1.6824324281722254,0.4055502484004087,0.35720935749231614,-0.1635035301540489,-0.2162743328207809,-0.47781966878314264,-0.21741419601555187,0.12082309650595312,0.11445564440413883,-0.2848046779469937,-2.702056153481577,-1.1348558680209007,-0.3182455230570822,-0.04157629550535549,-0.05334675492379171,0.975974292416819,0.9443208352447977,1.0412968006382168,0.582609668540179,1.683301843287573,-0.44437828515418676,-0.07029729646898722,0.0,0.0,0.0,0.0,0.0574913694925839,-0.29997473011751913,-0.19402865999157962,-0.6119680103799522,-0.40155438122729714,-0.26906456196130807,-0.7622234606129443,0.6897933485818222,-0.20348553220504415,-0.028390817806346443,-0.041411181163669215,-0.7856938201840935,shrinking,1
aza:Akita:05201001006,Akita,0.10109687356930523,0.19266873705591187,-0.037423478054404366,0.028111029997527397,-0.06626350115517965,-0.27467723825065693,-0.4782120116184229,-0.42472804785236,0.25680495694292277,-0.27344982575892984,0.6510094204457669,-0.37358848404284767,1.7558836301366634,3.7435105472760744,0.7525809390458341,0.8284212172328722,0.32898660269179564,0.28174277390803265,1.0348199148108441,0.3705368714376245,0.11028425955776915,0.11965210424632555,-0.2826420486635455,-5.408741042152673,-1.6632419421123703,-0.3235431188027365,-0.0346849639364184,-0.056401183540249665,0.20219774360331275,-0.04604587202847819,-0.03670765166427624,0.4673034235567143,1.4193532920409841,-0.3975371920462143,0.01936063999941945,0.0,0.0,0.0,0.0,0.40828673081289185,2.713456566057925,-0.11200132823462336,-0.3767812564587223,0.06129613406502951,-0.22025100462288677,-0.43172840262607354,0.44124774392354843,-0.8628606833958089,0.0,-0.5546265961279543,-1.0722060407964762,stable,0
aza:Akita:05201001007,Akita,0.09506287545983605,0.1856969319269619,-0.04388285106502345,0.021850591638370713,-0.07088934110783002,-0.2868249596359262,-0.47768720577077295,-0.42541457866149124,0.2550824595090199,-0.285564485716373,0.6519162764978207,-0.3793634312411448,1.4574715133999745,3.042149488071905,0.4200304781828199,0.3008291045023533,-0.09712943726920814,-0.19893579752932725,0.2840301870321933,0.4557637120537877,0.10893244249774879,0.11833351647052441,-0.28043993933232675,-3.5872917055456175,-0.932190453824928,-0.3243701267118469,-0.04522919297308984,-0.06229854904472842,1.4883784729932141,1.6138458111045912,1.3922633195343415,0.5553393176819821,1.8653316371848494,-0.41418507998133164,-0.00902580640749963,0.0,0.0,0.0,0.0,0.286151713772421,0.2643449034015933,-0.18989163522799485,-0.6574536910563495,-0.258583556246338,-0.303303069437602,-0.7546496039079003,0.6632693222228492,-0.8921100850184591,-0.4909941432391696,0.3923893416762124,-0.9276767804771242,stable,0
aza:Akita:05201002001,Akita,0.10358634588946256,0.19425684865161352,-0.014809875566383997,0.03025843179656644,-0.057003666204854885,-0.2675061911769483,-0.4499922205609063,-0.3986757579619095,0.22804912618030737,-0.2920750117606285,0.628781154897168,-0.3594862323305007,0.8082059314847027,1.2331414516496109,0.7197308795422126,0.9279819918839428,-0.43522592815447736,-0.4729204995080826,-0.7236776176274891,-0.1543945778757648,0.1412515424721801,0.10931482117696478,-0.2937841954788767,-2.7108164607064724,-1.1588093700463804,-0.3076130484223299,-0.026529167859419764,-0.033694292773693804,0.6964386678919668,0.6972265145545035,0.6999030295281844,0.3226041476980409,1.5134156737630555,-0.4429230680704235,-0.0880846094968263,0.0,0.0,0.0,0.0,-0.0340365452277748,-0.2347382609484244,-0.11812736905700655,-0.449180401560227,-0.26774494077552186,-0.2604942811863919,-0.6268918981486001,0.6296109330815429,-0.3011243827698859,-0.1399261734741365,0.08082851809375541,-1.241125448371578,shrinking,1
aza:Akita:05201002003,Akita,0.10901465638520771,0.20059712103005492,-0.0104188680048193,0.03587781271907438,-0.05333197859646659,-0.2568108973338436,-0.4524655999026159,-0.3999492862980269,0.23168879817679552,-0.2795442874392464,0.6294778128567047,-0.35513195504890477,1.0829258593143283,2.5418732034913476,0.690945624486793,0.882905565312647,-0.2952436609001354,-0.3369591137953075,0.28294540364837517,0.3407849991500325,0.14028214734361275,0.11128435734841458,-0.295030010319646,-4.286650383354832,-1.5775259789819762,-0.30794181795996795,-0.0172634529364554,-0.029793897243489968,0.5879860034760626,0.47354423936381795,0.45613309256529744,0.34262692919842935,1.7341551647377944,-0.400981587512526,-0.14708738892584994,0.0,0.0,0.0,0.0,-0.09400610761454867,-0.35207753651684437,-0.21015905194507917,-0.644406525233179,-0.4781670671621009,-0.28088822667730856,-0.7275364606760358,0.6935520574193638,-0.6893254404353728,-0.13803811416189174,-0.23784309580613788,-0.9437079320914115,stable,0
aza:Akita:05201002004,Akita,0.11555910368998637,0.20814507277398858,-0.002892039361832941,0.04266116484460454,-0.04806921752974607,-0.2435385304957491,-0.4522629499925289,-0.39852789423968343,0.23276899319456673,-0.26702738619729105,0.627865310295019,-0.348496569151199,1.394977940903016,3.6261144746219665,0.5458374046761164,0.6511168357314006,-0.49988477510531626,-0.5328378267049901,0.3820613844047632,0.5281649295813629,0.1425766789323316,0.11243603527917759,-0.2977146535680643,-5.0636549790067376,-0.7184876416368225,-0.3066064035493551,-0.005630379462286543,-0.022802468759214472,0.7131515058262905,0.3084535802708191,0.6434071326161427,0.29531809991372715,1.86235477567829,-0.4243226606355201,-0.1855811689262212,0.0,0.0,0.0,0.0,-0.25444134651624073,-0.049918294520587644,-0.20618185464540428,-0.6501954349658394,-0.38875587308670395,-0.30072301375508326,-0.6959300945239159,0.6741817954318077,-0.5481983080949474,0.5884642236224558,-0.837420450492494,-1.3715319002509945,stable,0
