,count,mean,std,min,25%,50%,75%,max,skew,kurtosis,missing_count,missing_pct
B2,5537.0,1238.6715354300238,1384.4196779888237,60.99999999999999,502.2256862803965,723.5358825073153,1239.9689174340278,10201.999999999998,2.758645615942026,8.646948002334064,2933,34.63
B3,5537.0,1246.3744901015748,1366.9444352227347,23.0,525.3599448803943,788.4620607360554,1228.1196871546674,10005.999999999998,2.8139267057235755,9.105103581632976,2933,34.63
B4,5537.0,1207.267462740721,1425.2895945829114,0.0,434.275157547498,730.9823668541259,1228.7656041357804,10269.000000000002,2.809783303639779,9.127722029671862,2933,34.63
B8,5537.0,1978.7848931860574,1456.1391535421344,0.0,1075.6817017567334,1784.425666479228,2482.981356437609,10583.999999999998,1.881842363888183,5.738613439322981,2933,34.63
B11,5537.0,1057.7401207839278,599.1833060403358,2.0,609.0160202683412,1041.2603782717808,1460.4160259883636,3507.9999999999995,0.3863434511571735,-0.11683952669335707,2933,34.63
NDVI,5537.0,0.19939488260262273,0.21858154465295176,-0.3142857253551483,0.0243488759287217,0.1742366837011988,0.3469504402930693,0.8288887881220984,0.38298146759068424,-0.47402219082013763,2933,34.63
NDBI,5537.0,-0.20721738335133835,0.18022862363848982,-0.8467100711747196,-0.2978196976362651,-0.1820644054111751,-0.0879053024998004,1.0,-0.16231498417868878,3.307250279891607,2933,34.63
MNDWI,5537.0,0.05932015230178999,0.3161816951275457,-0.6270134933116617,-0.2055988249958642,0.0031787744387934,0.3101540000096901,0.8449612259864807,0.3965538834570511,-0.8405200509302198,2933,34.63
viirs_mean,8210.0,0.9563180030661982,1.129001430065068,-0.0647305965829675,0.4236895015414527,0.627212358635147,1.0358661920548824,13.375650939977094,4.290622856165572,25.197367249148634,260,3.07
viirs_mean_x,20.0,1.4304560720422006,1.2799287858813413,0.436458054879602,0.6395962009504255,0.8104187788945121,1.5012326034187935,4.576245163197651,1.5320817301547922,1.0065910199378854,8450,99.76
viirs_mean_y,20.0,1.4304560720422006,1.2799287858813413,0.436458054879602,0.6395962009504255,0.8104187788945121,1.5012326034187935,4.576245163197651,1.5320817301547922,1.0065910199378854,8450,99.76
