unit_id,month,feature,value,lower_bound,upper_bound,bound_exceeded
mura:Akita:05207,2019-01,B2,7147.0,-888.0414,2885.6246,upper
mura:Akita:05434,2019-01,B2,7147.0,-888.0414,2885.6246,upper
mura:Akita:05464,2019-01,B2,7147.0,-888.0414,2885.6246,upper
mura:Aomori:02303,2019-01,B2,2896.0249,-888.0414,2885.6246,upper
mura:Aomori:02443,2019-01,B2,3080.3366,-888.0414,2885.6246,upper
mura:Akita:05201,2019-02,B2,4105.7439,-888.0414,2885.6246,upper
mura:Akita:05203,2019-02,B2,4826.839,-888.0414,2885.6246,upper
mura:Akita:05206,2019-02,B2,3082.3312,-888.0414,2885.6246,upper
mura:Akita:05207,2019-02,B2,4831.4384,-888.0414,2885.6246,upper
mura:Akita:05209,2019-02,B2,2897.4205,-888.0414,2885.6246,upper
mura:Akita:05210,2019-02,B2,4712.4731,-888.0414,2885.6246,upper
mura:Akita:05211,2019-02,B2,3481.413,-888.0414,2885.6246,upper
mura:Akita:05212,2019-02,B2,4656.4129,-888.0414,2885.6246,upper
mura:Akita:05213,2019-02,B2,3273.692,-888.0414,2885.6246,upper
mura:Akita:05214,2019-02,B2,4659.8127,-888.0414,2885.6246,upper
mura:Akita:05215,2019-02,B2,4079.023,-888.0414,2885.6246,upper
mura:Akita:05327,2019-02,B2,3436.1967,-888.0414,2885.6246,upper
mura:Akita:05361,2019-02,B2,3433.4815,-888.0414,2885.6246,upper
mura:Akita:05363,2019-02,B2,3216.8159,-888.0414,2885.6246,upper
mura:Akita:05366,2019-02,B2,3475.6584,-888.0414,2885.6246,upper
mura:Akita:05368,2019-02,B2,3000.1977,-888.0414,2885.6246,upper
mura:Akita:05434,2019-02,B2,4838.9683,-888.0414,2885.6246,upper
mura:Akita:05463,2019-02,B2,4787.8662,-888.0414,2885.6246,upper
mura:Akita:05464,2019-02,B2,4839.0,-888.0414,2885.6246,upper
mura:Akita:05201,2019-03,B2,4355.0647,-888.0414,2885.6246,upper
mura:Akita:05203,2019-03,B2,6494.1872,-888.0414,2885.6246,upper
mura:Akita:05207,2019-03,B2,6564.4632,-888.0414,2885.6246,upper
mura:Akita:05210,2019-03,B2,4903.8301,-888.0414,2885.6246,upper
mura:Akita:05211,2019-03,B2,3080.0092,-888.0414,2885.6246,upper
mura:Akita:05212,2019-03,B2,5945.1856,-888.0414,2885.6246,upper
mura:Akita:05213,2019-03,B2,3460.2924,-888.0414,2885.6246,upper
mura:Akita:05214,2019-03,B2,3942.1238,-888.0414,2885.6246,upper
mura:Akita:05215,2019-03,B2,5067.4698,-888.0414,2885.6246,upper
mura:Akita:05327,2019-03,B2,3603.4297,-888.0414,2885.6246,upper
mura:Akita:05361,2019-03,B2,3392.4422,-888.0414,2885.6246,upper
mura:Akita:05366,2019-03,B2,3281.517,-888.0414,2885.6246,upper
