,B2,B3,B4,B8,B11,NDVI,NDBI,MNDWI,viirs_mean,viirs_mean_x,viirs_mean_y,S2_NDBI_contrast,S2_NDBI_entropy,S2_NDBI_homogeneity,osm_built_area,osm_building_count,osm_built_ratio,elevation_mean,elevation_std,slope_mean,slope_std,aspect_sin_mean,aspect_cos_mean,tri_mean,dw_water_frac,dw_trees_frac,dw_grass_frac,dw_flooded_vegetation_frac,dw_crops_frac,dw_shrub_and_scrub_frac,dw_built_frac,dw_bare_frac,dw_snow_and_ice_frac,pop_total,pop_male,pop_female,households_total,age_u15,age_15_64,age_65_plus,age_75_plus,year,month_num
slope_std,0.06428114673953206,0.0730420800874295,0.07592098092911008,0.09104506962680811,0.10147341565736444,0.03025990829384522,-0.019314613432867826,-0.020383577651988186,-0.18587169237140017,-0.019398703398933913,-0.019398703398933913,-0.13187945249109503,0.060563652286981906,-0.062113756824573596,-0.010378540976168029,-0.019535280975692976,-0.055387800402637986,0.08212393438383767,0.007275401844139953,0.13617524382116866,1.0,-0.11430561607503173,-0.1433802192608136,0.09429040016910112,0.2364791072709174,0.0010599241524753167,-0.1204225515347657,0.042191048368229546,0.039282569430597165,-0.3355542410071284,-0.27182808589111573,0.19477328909168665,0.11164579123505701,-0.13146159952848022,-0.1309486062137633,-0.13189122404928796,-0.1300483059424703,-0.1397781301249497,-0.13426298061056113,-0.12402417659891113,-0.11797417098630139,0.00011676643719660434,0.00010694479646107942
aspect_sin_mean,-0.1877287848675185,-0.21864112207210662,-0.2246694112572879,-0.3332728856631592,-0.39994798322218916,-0.2506225200507606,0.1264157077023561,0.1715225923328515,-0.14491105794863648,-0.39789711894777363,-0.39789711894777363,0.005740941541564718,-0.08820298848321219,0.0801887656350958,-0.1843293790067621,-0.14752617036205384,-0.24922012639897553,-0.09579712516903209,-0.1589890884647641,-0.4620547403595244,-0.11430561607503173,1.0,0.9057790100079951,0.1865842611597547,-0.1959143719030372,0.3921862815775103,-0.2063109797417949,-0.27329114200472593,-0.2548514680921074,0.24519453654546164,-0.21072311952814027,-0.34566399382817387,-0.42620139999211953,-0.1900877587616722,-0.19074815093989847,-0.18947440646948177,-0.1708967727082098,-0.18598203887100956,-0.18387418914835724,-0.21061746365455236,-0.21848211038000553,-0.00011628886373211342,-0.00010650739340202828
aspect_cos_mean,-0.2097800485672074,-0.23976409530375525,-0.2505729466429668,-0.3008921202318114,-0.38000513923217244,-0.1206062996113797,0.03902565268477358,0.1053322424924314,-0.09043279301374077,-0.39789711894935254,-0.39789711894935254,0.006687961007201968,-0.06607244435446438,0.059995258705923094,-0.17728969096269565,-0.1359405454405821,-0.31263756096453826,-0.06429771001784179,-0.16657073826018468,-0.7943231042741512,-0.1433802192608136,0.9057790100079951,1.0,0.11663690341067022,-0.1474801026389342,0.25857822123987567,-0.08402756577553423,-0.22317006763162067,-0.17748954844709397,0.31678655113729215,-0.1453227565478172,-0.18947454424702032,-0.2751043596126603,-0.18973531747227768,-0.19280088016687333,-0.1870043224977842,-0.17064452021623538,-0.18699491351443362,-0.18305828368698557,-0.21318766077571646,-0.2206917105537451,-0.0002041900164361881,-0.00018701486721313493
tri_mean,0.05359784471754134,0.061877798442292464,0.06251002252051907,0.0944985740219959,0.0757181811338723,0.05897256330560127,-0.052715959470742944,-0.02284022961677738,-0.4361972171886748,-0.5277107589510921,-0.5277107589510921,-0.5029307493582058,-0.04432803548577251,0.06425747579767155,0.05861408438561717,0.08339444680932762,-0.26037270221903863,0.8164000947160419,0.7642830825656882,0.023370021401509348,0.09429040016910112,0.1865842611597547,0.11663690341067022,1.0,-0.47934638014828407,0.8648418926161121,-0.8428878070630386,-0.810278242341668,-0.8417733575974293,-0.02606309957863973,-0.7777027277610021,-0.5786522881741808,0.3846474263421501,-0.06081877843189265,-0.062125516830916626,-0.05964520981513903,-0.056062597128980596,-0.07950928066011728,-0.06765531316590292,-0.044826004349207055,-0.039408884811676426,0.00014632822424344525,0.00013402003635174181
dw_water_frac,-0.031524246388299,-0.03744150760122642,-0.037507758051194766,-0.06484981524288655,-0.06481094917561692,-0.057638771087505314,0.04129158588760488,0.030701500477163902,0.13203937691893694,0.31127480055982204,0.31127480055982204,0.09580774104535214,0.026892574918980526,-0.02235581057574037,0.08021391587146574,0.059508102054453844,0.2565610303141619,-0.36909722790461846,-0.3362372483800726,0.027797429083833085,0.2364791072709174,-0.1959143719030372,-0.1474801026389342,-0.47934638014828407,1.0,-0.47765760656785433,0.19293212383737857,0.4482574549196518,0.35916815509191446,-0.3200028389124531,0.12261568579644302,0.4945588755063411,-0.16865404858809838,0.08900200931474117,0.09092300056941705,0.08727688924774166,0.09470132174387082,0.09158761287272286,0.09135852919336,0.07919771133029392,0.07524417817031417,-5.615221607273952e-05,-5.142905326123272e-05
dw_trees_frac,-0.005695332870576687,-0.009555712808980845,-0.0075454115028121115,-0.05259065085559148,-0.05524470984165816,-0.09954335999326891,0.05935690101637787,0.05311267151522852,-0.4662449203837863,-0.5219770198898576,-0.5219770198898576,-0.5023769085080975,-0.06925984295497092,0.09129727194098765,0.014982183216010496,0.03943150558383672,-0.27173912258703353,0.5582774204820105,0.596432686286784,0.021074294203359694,0.0010599241524753167,0.3921862815775103,0.25857822123987567,0.8648418926161121,-0.47765760656785433,1.0,-0.8106934259158236,-0.8411970711580814,-0.9137372899313394,0.15199045602484254,-0.7967489082138436,-0.6971908289729312,0.0004846591246052107,-0.0858608970674103,-0.08594372841374028,-0.0857657092567045,-0.07562332856234456,-0.10438002561450385,-0.09204768479462389,-0.0717982216940468,-0.06933646907610866,0.0001528553988457371,0.0001399981870601323
dw_grass_frac,-0.030627963892591478,-0.033502320167190056,-0.0342198030528261,-0.03703004974348197,-0.01003744597118564,0.009484249638922153,0.014691523427353491,-0.02104237557149712,0.41895762796277625,0.42787191024681176,0.42787191024681176,0.4661501849771962,0.06266921141383247,-0.08296069348817936,-0.15411609412636545,-0.18447645674994548,0.06811017056480637,-0.6476291999718017,-0.6562126787351688,-0.11990444148373429,-0.1204225515347657,-0.2063109797417949,-0.08402756577553423,-0.8428878070630386,0.19293212383737857,-0.8106934259158236,1.0,0.6476620487045341,0.7998389308162692,0.2676704791647126,0.7241930130627091,0.6020923132212469,-0.24337511087670738,-0.04134742914178142,-0.04023781776303596,-0.04232037602033787,-0.048132994416401884,-0.0198909095032397,-0.03302840345974624,-0.05742266699045705,-0.0586722903902878,-0.0001111133874565227,-0.00010176724486094817
dw_flooded_vegetation_frac,-0.0337933089865505,-0.039479650081612666,-0.04370884924170587,-0.031517170114844666,-0.1021346526930656,-0.009259024879034378,-0.040041025495284474,0.05559790167377252,0.2563921825371452,-0.01028112082611208,-0.01028112082611208,0.48957172284969713,0.02104517425483802,-0.050537536157791704,-0.06570713030051509,-0.07698633617057343,0.23941963397991234,-0.6703132410438468,-0.6483140370563001,0.0752802817374198,0.042191048368229546,-0.27329114200472593,-0.22317006763162067,-0.810278242341668,0.4482574549196518,-0.8411970711580814,0.6476620487045341,1.0,0.9333445027111548,-0.3375665891246792,0.627603121265137,0.5130988414711811,-0.2953639676773877,-0.053906009215575174,-0.05552390963643325,-0.052458415191669786,-0.06303087153996921,-0.05007710716015381,-0.053570948382202194,-0.05286376166679733,-0.05018849882382897,-2.1735073370768697e-05,-1.9906858975680822e-05
dw_crops_frac,-0.020631536126853374,-0.02267219670589732,-0.026258610957735525,-0.0009913581275557038,-0.04571382552060142,0.03239561336673783,-0.04975104937540805,0.014924215966438904,0.29217093063330163,0.0026384120887469795,0.0026384120887469795,0.5289119808835437,0.05224812461586084,-0.08453485002579653,-0.12475185456228319,-0.13950567101574596,0.12922700571458412,-0.6458762782895728,-0.6698136906535054,0.006108391196013118,0.039282569430597165,-0.2548514680921074,-0.17748954844709397,-0.8417733575974293,0.35916815509191446,-0.9137372899313394,0.7998389308162692,0.9333445027111548,1.0,-0.22430761548587008,0.6779963147697669,0.5771780800588093,-0.20706289607517356,-0.07754450649270725,-0.07916621082663496,-0.07608754605625877,-0.088593308542237,-0.06773429358702743,-0.0750081830138308,-0.0820245856547653,-0.0800433693882344,-3.180949387013724e-05,-2.9133884095180874e-05
dw_shrub_and_scrub_frac,-0.031563407517695076,-0.03570808017172689,-0.030404772299423646,-0.09286083313136927,0.03432127696922907,-0.06839546774084684,0.12621684523794768,-0.04838081571182638,0.15269319423656977,0.7181409653049564,0.7181409653049564,-0.010761733515569359,-0.02010801643763885,0.02504043287295782,-0.08869981236976482,-0.10127847953275271,-0.08235968641582019,-0.12504248724933,-0.15067420008382731,-0.3114715494159178,-0.3355542410071284,0.24519453654546164,0.31678655113729215,-0.02606309957863973,-0.3200028389124531,0.15199045602484254,0.2676704791647126,-0.3375665891246792,-0.22430761548587008,1.0,0.13669655734299477,0.13560712035729838,-0.2805273475452037,-0.04022677527111955,-0.035644867318089475,-0.04427745464565331,-0.03237875198543962,-0.01905359588553078,-0.03140703801858763,-0.05558085608756587,-0.060343235718333,-2.8560780912870263e-06,-2.6158431984557963e-06
dw_built_frac,-0.01206655285937221,-0.012127611136946435,-0.01250950736766175,-0.0034430056910444455,0.030423264579946895,0.03597577393380947,-0.0031338778001089676,-0.037568516378352776,0.6583851429995669,0.9416254559996778,0.9416254559996778,0.5448834480955501,0.011042623320060457,-0.03435169998623699,0.11968023976245855,0.10227165573287363,0.4649650157965627,-0.6136248786597307,-0.5995566570407224,0.0020503097424590016,-0.27182808589111573,-0.21072311952814027,-0.1453227565478172,-0.7777027277610021,0.12261568579644302,-0.7967489082138436,0.7241930130627091,0.627603121265137,0.6779963147697669,0.13669655734299477,1.0,0.43826908403452336,-0.18170963424624964,0.2628977827082003,0.26526618117933776,0.26073202940513096,0.25637756970941106,0.292899568136173,0.2729021318566379,0.24230866769910506,0.23492098851458454,-0.00020892745204960318,-0.00019135382024634354
