,unit_id,pref_name,NDBI_slope,viirs_mean_slope,S2_NDBI_contrast_slope,NDVI_cv,NDVI_seasonal_amp,NDBI_seasonal_amp,S2_NDBI_contrast_mean,S2_NDBI_entropy_mean,elderly_ratio,aging_index,household_size,pop_total
0,aza:Akita:05201001001,Akita,0.32010256150213584,-1.581552213432296,0.17859209856450772,-0.024997094540581997,-0.7610801188394845,-0.3186276911540492,0.198900032996577,-0.0300348968873107,-0.10882339238879106,-0.12337793147985719,-0.48856239470087065,0.5099902543497095
1,aza:Akita:05201001002,Akita,0.32442650946840634,-1.8993745725044733,0.7265902276786756,-0.024810647309341564,-0.7610438164033793,-0.30399459144145174,0.8153016284161941,0.09411316739489417,-1.4234634668981991,-0.31824841728413567,-1.1187347954258597,0.06940991512748355
2,aza:Akita:05201001003,Akita,0.3247875907181994,-1.4609240674595054,-0.4802108737367917,-0.024719596713485805,-0.7693328726473928,-0.3216137492191922,0.2905316893946339,0.31617842087103704,0.21286604599066491,-0.07442032174577737,-0.619932985445706,-0.47103527298209447
3,aza:Akita:05201001004,Akita,0.3206622374393148,-1.7943749204456707,1.0362168399027334,-0.025022124732141323,-0.7556105517996389,-0.30433423785644426,0.8528889719851354,-0.7410342946868483,-0.8311651583822921,-0.4229142749066466,-0.8873780184772468,0.7371339001572608
4,aza:Akita:05201001005,Akita,0.3210774808765768,-0.8748356499243944,0.532724802919468,-0.024884454563419416,-0.7688730417900609,-0.333098043626129,0.6423423986235145,-0.22640961716418964,-0.2644904657191918,-0.2738772502920284,-0.5935511387146556,0.8487475890134168
5,aza:Akita:05201001006,Akita,0.3295087280592422,-1.982444907825838,0.34479560560328876,-0.024427445067873973,-0.7783298263954574,-0.3261565200197179,1.594699383962365,0.40896235618957527,-0.9697860395456255,-0.2593712918523012,-0.7708002298430504,-0.19102201118998982
6,aza:Akita:05201001007,Akita,0.32736932165421895,-1.2370850927736585,0.43354426083987246,-0.024509073868581165,-0.7798061254637341,-0.3367775464552155,0.6759544609714928,-0.14077899116135761,-1.001072437682213,-0.5102390436922919,-0.6813880575513769,2.810798809571425
7,aza:Akita:05201002001,Akita,0.31273650400635966,-0.8784204770407564,0.5779020453531074,-0.025405096771459194,-0.7498929181130748,-0.3179413223570849,1.4900745201456216,-0.5769644500586568,-0.3689291134488212,-0.33086494416238593,-0.8753012225149827,0.3122186338594799
8,aza:Akita:05201002003,Akita,0.3159320730670272,-1.5232713974215972,1.0353941749467201,-0.0252685824749056,-0.7504798074967748,-0.3086081219117676,1.4011189165801556,-0.39637035598821807,-0.7841653977275951,-0.32990026219718244,-0.6913056347049816,0.1634003863777383
9,aza:Akita:05201002004,Akita,0.31780066853470573,-1.8412313813037835,1.4038138408447471,-0.025210735930273773,-0.7480959475258687,-0.29689032059452336,0.9889161895491659,-0.6603822008764042,-0.6332098429015347,0.04129766489841142,-0.9559764028737864,0.33767438686454515
