KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T000849001,T000849002,T000849003,T000849004,T000849005,T000849006,T000849007,T000849008,T000849009,T000849010,T000849011,T000849012,T000849013,T000849014,T000849015,T000849016,T000849017,T000849018,T000849019,T000849020,T000849021,T000849022,T000849023,T000849024,T000849025,T000849026,T000849027,T000849028,T000849029,T000849030,T000849031,T000849032,T000849033,T000849034,T000849035,T000849036,T000849037,T000849038,T000849039,T000849040,T000849041,T000849042,T000849043,T000849044,T000849045,T000849046,T000849047,T000849048,T000849049,T000849050,T000849051,T000849052,T000849053,T000849054,T000849055,T000849056,T000849057,T000849058,T000849059,T000849060
,,,,,,,総数、年齢「不詳」含む,　総数０～４歳,　総数５～９歳,　総数１０～１４歳,　総数１５～１９歳,　総数２０～２４歳,　総数２５～２９歳,　総数３０～３４歳,　総数３５～３９歳,　総数４０～４４歳,　総数４５～４９歳,　総数５０～５４歳,　総数５５～５９歳,　総数６０～６４歳,　総数６５～６９歳,　総数７０～７４歳,　総数１５歳未満,　総数１５～６４歳,　総数６５歳以上,　総数７５歳以上,男の総数、年齢「不詳」含む,　男０～４歳,　男５～９歳,　男１０～１４歳,　男１５～１９歳,　男２０～２４歳,　男２５～２９歳,　男３０～３４歳,　男３５～３９歳,　男４０～４４歳,　男４５～４９歳,　男５０～５４歳,　男５５～５９歳,　男６０～６４歳,　男６５～６９歳,　男７０～７４歳,　男１５歳未満,　男１５～６４歳,　男６５歳以上,　男７５歳以上,女の総数、年齢「不詳」含む,　女０～４歳,　女５～９歳,　女１０～１４歳,　女１５～１９歳,　女２０～２４歳,　女２５～２９歳,　女３０～３４歳,　女３５～３９歳,　女４０～４４歳,　女４５～４９歳,　女５０～５４歳,　女５５～５９歳,　女６０～６４歳,　女６５～６９歳,　女７０～７４歳,　女１５歳未満,　女１５～６４歳,　女６５歳以上,　女７５歳以上
05201,1,秋田市,,0,,,315814,10494,11731,12691,14662,13652,13413,15907,19779,22459,19951,20445,21625,24314,25557,18557,34916,186207,88713,44599,148851,5329,5993,6361,7430,6895,6519,7747,9707,11097,9704,9727,10328,11686,12064,8462,17683,90840,36905,16379,166963,5165,5738,6330,7232,6757,6894,8160,10072,11362,10247,10718,11297,12628,13493,10095,17233,95367,51808,28220
052010010,2,秋田市,千秋,0,,,4419,129,130,151,187,255,171,195,263,325,294,295,355,375,333,229,410,2715,1130,568,2107,68,60,81,94,140,83,91,127,157,158,153,161,181,165,96,209,1345,458,197,2312,61,70,70,93,115,88,104,136,168,136,142,194,194,168,133,201,1370,672,371
05201001001,3,秋田市,千秋北の丸,0,,,572,6,18,26,26,22,15,22,25,47,32,32,38,50,65,36,50,309,206,105,266,2,10,14,15,13,8,7,11,21,20,15,15,23,35,12,26,148,87,40,306,4,8,12,11,9,7,15,14,26,12,17,23,27,30,24,24,161,119,65
05201001002,3,秋田市,千秋久保田町,0,,,381,11,7,6,23,39,14,15,26,34,26,31,29,23,25,19,24,260,70,26,204,7,3,3,11,13,5,5,15,19,15,27,20,15,13,6,13,145,32,13,177,4,4,3,12,26,9,10,11,15,11,4,9,8,12,13,11,115,38,13
05201001003,3,秋田市,千秋公園,0,,,57,-,2,1,1,1,-,1,4,2,3,7,4,6,1,6,3,29,25,18,23,-,-,1,1,1,-,1,2,1,-,3,1,3,1,2,1,13,9,6,34,-,2,-,-,-,-,-,2,1,3,4,3,3,-,4,2,16,16,12
05201001004,3,秋田市,千秋城下町,0,,,653,17,14,10,31,72,32,24,31,38,34,36,50,62,55,42,41,410,173,76,338,9,6,6,17,51,20,12,16,22,21,18,19,30,26,22,21,226,73,25,315,8,8,4,14,21,12,12,15,16,13,18,31,32,29,20,20,184,100,51
05201001005,3,秋田市,千秋中島町,0,,,786,15,21,36,27,37,32,45,40,39,44,44,67,78,70,48,72,453,248,130,370,6,9,19,13,21,14,22,21,16,26,18,31,39,32,24,34,221,104,48,416,9,12,17,14,16,18,23,19,23,18,26,36,39,38,24,38,232,144,82
05201001006,3,秋田市,千秋明徳町,0,,,205,4,6,6,12,8,4,9,17,16,18,17,17,12,13,8,16,130,47,26,96,4,1,4,7,3,3,4,9,10,7,8,7,5,6,3,9,63,18,9,109,-,5,2,5,5,1,5,8,6,11,9,10,7,7,5,7,67,29,17
05201001007,3,秋田市,千秋矢留町,0,,,1765,76,62,66,67,76,74,79,120,149,137,128,150,144,104,70,204,1124,361,187,810,40,31,34,30,38,33,40,53,68,69,64,68,66,52,27,105,529,135,56,955,36,31,32,37,38,41,39,67,81,68,64,82,78,52,43,99,595,226,131
